source_id,source_label,profile_type,variable,column,field_id,instance,value,value_label,count,percent,non_missing_count,missing_percent,mean,sd,median,q1,q3,min,max,zero_percent,skewness,extreme_z_percent
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-05-29,2008-05-29,754,0.2%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-05-24,2010-05-24,753,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-05-27,2010-05-27,751,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-17,2008-04-17,749,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-12,2008-04-12,748,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2009-02-13,2009-02-13,748,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-05-28,2010-05-28,747,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-04,2008-04-04,746,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-07,2008-04-07,745,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-01,2008-04-01,744,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-05-19,2010-05-19,744,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-05-28,2008-05-28,744,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2009-03-09,2009-03-09,744,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2009-03-10,2009-03-10,743,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2009-03-18,2009-03-18,741,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-07-24,2008-07-24,740,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2008-04-09,2008-04-09,739,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2010-05-12,2010-05-12,739,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2009-02-11,2009-02-11,739,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-0.0,53,0,2009-03-16,2009-03-16,737,0.1%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-23,2013-04-23,104,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-05,2013-05-05,103,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-06-02,2013-06-02,101,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-16,2013-04-16,100,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-30,2013-05-30,99,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-18,2013-05-18,98,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-26,2013-04-26,97,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-07,2013-04-07,97,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-04,2013-05-04,97,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-19,2013-04-19,96,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-22,2013-04-22,96,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-15,2013-04-15,95,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-02,2013-05-02,95,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-25,2013-05-25,95,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-04,2013-04-04,95,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-01,2013-05-01,95,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-03,2013-05-03,94,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-28,2013-04-28,94,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-22,2013-05-22,93,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-09,2013-05-09,93,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-06-06,2013-06-06,93,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-05,2013-04-05,92,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-29,2013-04-29,92,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-15,2013-05-15,92,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-26,2013-05-26,92,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-11,2013-05-11,92,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-14,2013-05-14,91,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-24,2013-04-24,90,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-21,2013-04-21,90,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-06-05,2013-06-05,90,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-13,2013-05-13,90,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-23,2013-05-23,89,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-16,2013-05-16,89,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-20,2013-05-20,89,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-20,2013-04-20,88,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-28,2013-05-28,88,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-06-03,2013-06-03,88,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-04-30,2013-04-30,87,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-12,2013-05-12,87,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-1.0,53,1,2013-05-21,2013-05-21,87,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-02,2019-05-02,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-25,2019-04-25,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-30,2019-04-30,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-11,2019-04-11,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-13,2019-04-13,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-23,2019-04-23,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-03-07,2019-03-07,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-29,2019-04-29,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-03,2019-04-03,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-24,2019-04-24,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-27,2019-05-27,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-18,2019-04-18,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-03-28,2019-03-28,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-16,2019-04-16,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-13,2019-05-13,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-03-22,2019-03-22,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-06,2019-04-06,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-20,2019-05-20,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-16,2019-05-16,52,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-10,2019-04-10,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-02-19,2019-02-19,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-09,2019-05-09,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-03-06,2019-03-06,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-01-17,2019-01-17,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-04,2019-04-04,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-02-27,2019-02-27,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-06-02,2019-06-02,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2018-12-14,2018-12-14,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2018-10-24,2018-10-24,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-03-14,2019-03-14,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2018-10-05,2018-10-05,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-11,2019-05-11,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-18,2019-05-18,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-04-05,2019-04-05,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-04,2019-05-04,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-05,2019-05-05,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-03-21,2019-03-21,51,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-2.0,53,2,2019-05-30,2019-05-30,51,0.0%,,,,,,,,,,,,
