source_id,group_id,instance,participant_count,source_participant_count,source_percent
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_predicted_mass_left__23126,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_predicted_mass_left__23126,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_predicted_mass_right__23122,all,492958,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_predicted_mass_right__23122,0,492217,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_predicted_mass_right__23122,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_predicted_mass_right__23122,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__arm_predicted_mass_right__23122,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__basal_metabolic_rate__23105,all,493076,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__basal_metabolic_rate__23105,0,492357,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__basal_metabolic_rate__23105,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__basal_metabolic_rate__23105,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__basal_metabolic_rate__23105,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__body_fat_percentage__23099,all,492839,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__body_fat_percentage__23099,0,492096,502505,97.9%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__body_fat_percentage__23099,1,20037,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__body_fat_percentage__23099,2,46369,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__body_fat_percentage__23099,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__body_mass_index_bmi__23104,all,493086,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__body_mass_index_bmi__23104,0,492368,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__body_mass_index_bmi__23104,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__body_mass_index_bmi__23104,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__body_mass_index_bmi__23104,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_arm_left__23110,all,493054,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_arm_left__23110,0,492332,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_arm_left__23110,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_arm_left__23110,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_arm_left__23110,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_arm_right__23109,all,493032,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_arm_right__23109,0,492308,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_arm_right__23109,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_arm_right__23109,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_arm_right__23109,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_arm_manual_entry_left__6222,all,31,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_arm_manual_entry_left__6222,0,25,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_arm_manual_entry_left__6222,1,1,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_arm_manual_entry_left__6222,2,5,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_arm_manual_entry_right__6221,all,31,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_arm_manual_entry_right__6221,0,25,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_arm_manual_entry_right__6221,1,1,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_arm_manual_entry_right__6221,2,5,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_leg_left__23108,all,493061,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_leg_left__23108,0,492340,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_leg_left__23108,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_leg_left__23108,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_leg_left__23108,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_leg_right__23107,all,493065,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_leg_right__23107,0,492346,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_leg_right__23107,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_leg_right__23107,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_leg_right__23107,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_leg_manual_entry_left__6220,all,31,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_leg_manual_entry_left__6220,0,25,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_leg_manual_entry_left__6220,1,1,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_leg_manual_entry_left__6220,2,5,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_leg_manual_entry_right__6219,all,31,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_leg_manual_entry_right__6219,0,25,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_leg_manual_entry_right__6219,1,1,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__manual_bioimpedance_attribute__impedance_of_leg_manual_entry_right__6219,2,5,502505,0.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_whole_body__23106,all,493038,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_whole_body__23106,0,492317,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_whole_body__23106,1,20041,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__impedance_of_whole_body__23106,2,46384,502505,9.2%
