source_id,source_label,source_kind,data_file,metadata_file,file_size_bytes,application,basket_id,run_id,date_extracted,row_count,column_count,unique_feature_count_excluding_id,participant_id_columns,alignment_group,alignment_note
eye_kidney_ukb42408,eye and kidney / ukb42408,ukbconv_csv,UKBF/eye and kidney/ukb42408.csv,UKBF/eye and kidney/ukb42408.html,13945497546,62491,2007967,42408,2020-06-18T23:08:20,502505,8157,894,eid,ckd_application_id,eid matches METABOLITE.csv:eid_ckd and bridge_brain.dta:eid_ckd
eye_brain_ukb42577,eye and brain / ukb42577,ukbconv_csv,UKBF/eye and brain/ukb42577.csv,UKBF/eye and brain/ukb42577.html,14252356810,62443,2007954,42577,2020-06-30T18:27:00,502505,8333,1543,eid,application_62443_id,Raw eid is eye-brain namespace; bridge_brain.dta maps eid_brain to eid_ckd for kidney/metabolite fusion
eye_brain_ukb43216,eye and brain / ukb43216,ukbconv_csv,UKBF/eye and brain/ukb43216.csv,UKBF/eye and brain/ukb43216.html,5317939211,62443,2009195,43216,2020-08-11T19:45:41,502507,2898,360,eid,application_62443_id,Same eye-brain namespace as ukb42577; bridge_brain.dta maps eid_brain to eid_ckd for kidney/metabolite fusion
metabolite_csv,METABOLITE.csv,derived_csv,UKBF/METABOLITE.csv,UKBF/METABOLITE.csv,4770733337,,,,,502476,3142,3139,eid_ckd; eid_ageing,mixed_id_columns,eid_ckd matches eye_kidney_ukb42408:eid and bridges to eye-brain through bridge_brain.dta; eid_ageing maps to eid_ckd through bridge_ageing.dta
